sample,healthy,nbl,tool,LMC1,LMC2,V1,V2
20M_mix_Bmap_CLBGA_0_rep1,0.9976695637074338,0.0023304362925662,CelFiE,,,,
20M_mix_Bmap_CLBGA_10_rep1,0.8777725151628879,0.1222274848371121,CelFiE,,,,
20M_mix_Bmap_CLBGA_25_rep1,0.6992295713540672,0.3007704286459328,CelFiE,,,,
20M_mix_Bmap_CLBGA_50_rep1,0.431664476240932,0.568335523759068,CelFiE,,,,
20M_mix_Bmap_CLBGA_100_rep1,0.0021888466592338,0.997811153340766,CelFiE,,,,
20M_mix_Bmap_CLBGA_0_rep1,0.997,0.003, meth_atlas,,,,
20M_mix_Bmap_CLBGA_10_rep1,0.865,0.135, meth_atlas,,,,
20M_mix_Bmap_CLBGA_25_rep1,0.708,0.292, meth_atlas,,,,
20M_mix_Bmap_CLBGA_50_rep1,0.483,0.517, meth_atlas,,,,
20M_mix_Bmap_CLBGA_100_rep1,0.0,1.0, meth_atlas,,,,
X20M_mix_Bmap_CLBGA_0_rep1,1.0,0.0, CIBERSORT,,,,
X20M_mix_Bmap_CLBGA_10_rep1,0.92271127934051,0.0772887206594904, CIBERSORT,,,,
X20M_mix_Bmap_CLBGA_25_rep1,0.749367247822986,0.250632752177014, CIBERSORT,,,,
X20M_mix_Bmap_CLBGA_50_rep1,0.477043731318656,0.522956268681344, CIBERSORT,,,,
X20M_mix_Bmap_CLBGA_100_rep1,0.0,1.0, CIBERSORT,,,,
X20M_mix_Bmap_CLBGA_0_rep1,1.0,0.0, EpiDISH,,,,
X20M_mix_Bmap_CLBGA_10_rep1,0.920208095008453,0.0797919049915467, EpiDISH,,,,
X20M_mix_Bmap_CLBGA_25_rep1,0.749614342721529,0.250385657278471, EpiDISH,,,,
X20M_mix_Bmap_CLBGA_50_rep1,0.484897076706536,0.515102923293464, EpiDISH,,,,
X20M_mix_Bmap_CLBGA_100_rep1,0.0,1.0, EpiDISH,,,,
X20M_mix_Bmap_CLBGA_0_rep1,0.0,1.0, Methyl_Resolver,,,,
X20M_mix_Bmap_CLBGA_10_rep1,0.5,0.5, Methyl_Resolver,,,,
X20M_mix_Bmap_CLBGA_25_rep1,0.5,0.5, Methyl_Resolver,,,,
X20M_mix_Bmap_CLBGA_50_rep1,0.5,0.5, Methyl_Resolver,,,,
X20M_mix_Bmap_CLBGA_100_rep1,1.0,0.0, Methyl_Resolver,,,,
X20M_mix_Bmap_CLBGA_0_rep1,1.0,0.0, EpiSCORE,,,,
X20M_mix_Bmap_CLBGA_10_rep1,0.936651324086166,0.0633486759138342, EpiSCORE,,,,
X20M_mix_Bmap_CLBGA_25_rep1,0.765014141980009,0.234985858019991, EpiSCORE,,,,
X20M_mix_Bmap_CLBGA_50_rep1,0.490033858939616,0.509966141060384, EpiSCORE,,,,
X20M_mix_Bmap_CLBGA_100_rep1,0.0,1.0, EpiSCORE,,,,
X20M_mix_Bmap_CLBGA_0_rep1,0.9961,0.0039, PRMeth,,,,
X20M_mix_Bmap_CLBGA_10_rep1,0.8633,0.1367, PRMeth,,,,
X20M_mix_Bmap_CLBGA_25_rep1,0.6952,0.3048, PRMeth,,,,
X20M_mix_Bmap_CLBGA_50_rep1,0.4473,0.5527, PRMeth,,,,
X20M_mix_Bmap_CLBGA_100_rep1,0.0,1.0, PRMeth,,,,
X20M_mix_Bmap_CLBGA_50_rep1,,, MeDeCom,0.476940986111956,0.523059013888044,,
X20M_mix_Bmap_CLBGA_100_rep1,,, MeDeCom,0.0,1.0,,
X20M_mix_Bmap_CLBGA_10_rep1,,, MeDeCom,0.897137868929133,0.102862131070867,,
X20M_mix_Bmap_CLBGA_0_rep1,,, MeDeCom,1.0,0.0,,
X20M_mix_Bmap_CLBGA_25_rep1,,, MeDeCom,0.729791006227582,0.270208993772418,,
X20M_mix_Bmap_CLBGA_50_rep1,,, PRMeth_RF,,,0.5231,0.4769
X20M_mix_Bmap_CLBGA_100_rep1,,, PRMeth_RF,,,1.0,0.0
X20M_mix_Bmap_CLBGA_10_rep1,,, PRMeth_RF,,,0.1029,0.8971
X20M_mix_Bmap_CLBGA_0_rep1,,, PRMeth_RF,,,0.0,1.0
X20M_mix_Bmap_CLBGA_25_rep1,,, PRMeth_RF,,,0.2702,0.7298
