name,type,file
DNA097385,healthy,/Users/edoardogiuili/Library/CloudStorage/OneDrive-UGent/Projects/Maisa_deconv_benchmark/DNAmBenchmarking/References/healthy_donors_KSC/DNA097385_S10.cov.gz
DNA097389,healthy,/Users/edoardogiuili/Library/CloudStorage/OneDrive-UGent/Projects/Maisa_deconv_benchmark/DNAmBenchmarking/References/healthy_donors_KSC/DNA097389_S14.cov.gz
DNA097393,healthy,/Users/edoardogiuili/Library/CloudStorage/OneDrive-UGent/Projects/Maisa_deconv_benchmark/DNAmBenchmarking/References/healthy_donors_KSC/DNA097393_S18.cov.gz
DNA097394,healthy,/Users/edoardogiuili/Library/CloudStorage/OneDrive-UGent/Projects/Maisa_deconv_benchmark/DNAmBenchmarking/References/healthy_donors_KSC/DNA097394_S19.cov.gz
DNA097399,healthy,/Users/edoardogiuili/Library/CloudStorage/OneDrive-UGent/Projects/Maisa_deconv_benchmark/DNAmBenchmarking/References/healthy_donors_KSC/DNA097399_S23.cov.gz
DNA097401,healthy,/Users/edoardogiuili/Library/CloudStorage/OneDrive-UGent/Projects/Maisa_deconv_benchmark/DNAmBenchmarking/References/healthy_donors_KSC/DNA097401_S25.cov.gz
DNA097403,healthy,/Users/edoardogiuili/Library/CloudStorage/OneDrive-UGent/Projects/Maisa_deconv_benchmark/DNAmBenchmarking/References/healthy_donors_KSC/DNA097403_S27.cov.gz
DNA097404,healthy,/Users/edoardogiuili/Library/CloudStorage/OneDrive-UGent/Projects/Maisa_deconv_benchmark/DNAmBenchmarking/References/healthy_donors_KSC/DNA097404_S28.cov.gz
DNA097407,healthy,/Users/edoardogiuili/Library/CloudStorage/OneDrive-UGent/Projects/Maisa_deconv_benchmark/DNAmBenchmarking/References/healthy_donors_KSC/DNA097407_S30.cov.gz
DNA097409,healthy,/Users/edoardogiuili/Library/CloudStorage/OneDrive-UGent/Projects/Maisa_deconv_benchmark/DNAmBenchmarking/References/healthy_donors_KSC/DNA097409_S32.cov.gz
DNA097412,healthy,/Users/edoardogiuili/Library/CloudStorage/OneDrive-UGent/Projects/Maisa_deconv_benchmark/DNAmBenchmarking/References/healthy_donors_KSC/DNA097412_S35.cov.gz
DNA041087,nbl,/Users/edoardogiuili/Library/CloudStorage/OneDrive-UGent/Projects/Maisa_deconv_benchmark/DNAmBenchmarking/References/NBL_allCellLines/DNA041087_S27.cov.gz
DNA044133,nbl,/Users/edoardogiuili/Library/CloudStorage/OneDrive-UGent/Projects/Maisa_deconv_benchmark/DNAmBenchmarking/References/NBL_allCellLines/DNA044133_S31.cov.gz
DNA044134,nbl,/Users/edoardogiuili/Library/CloudStorage/OneDrive-UGent/Projects/Maisa_deconv_benchmark/DNAmBenchmarking/References/NBL_allCellLines/DNA044134_S32.cov.gz
DNA044135,nbl,/Users/edoardogiuili/Library/CloudStorage/OneDrive-UGent/Projects/Maisa_deconv_benchmark/DNAmBenchmarking/References/NBL_allCellLines/DNA044135_S33.cov.gz
DNA063418,nbl,/Users/edoardogiuili/Library/CloudStorage/OneDrive-UGent/Projects/Maisa_deconv_benchmark/DNAmBenchmarking/References/NBL_allCellLines/DNA063418_S24.cov.gz
DNA063419,nbl,/Users/edoardogiuili/Library/CloudStorage/OneDrive-UGent/Projects/Maisa_deconv_benchmark/DNAmBenchmarking/References/NBL_allCellLines/DNA063419_S25.cov.gz
DNA063420,nbl,/Users/edoardogiuili/Library/CloudStorage/OneDrive-UGent/Projects/Maisa_deconv_benchmark/DNAmBenchmarking/References/NBL_allCellLines/DNA063420_S26.cov.gz
DNA063421,nbl,/Users/edoardogiuili/Library/CloudStorage/OneDrive-UGent/Projects/Maisa_deconv_benchmark/DNAmBenchmarking/References/NBL_allCellLines/DNA063421_S27.cov.gz
DNA063422,nbl,/Users/edoardogiuili/Library/CloudStorage/OneDrive-UGent/Projects/Maisa_deconv_benchmark/DNAmBenchmarking/References/NBL_allCellLines/DNA063422_S28.cov.gz
DNA064214,nbl,/Users/edoardogiuili/Library/CloudStorage/OneDrive-UGent/Projects/Maisa_deconv_benchmark/DNAmBenchmarking/References/NBL_allCellLines/DNA064214_S30.cov.gz
