sample,healthy,nbl,tool,LMC1,LMC2,V1,V2
20M_mix_Bmap_CLBGA_0_rep1,0.997819052634348,0.002180947365652,CelFiE,,,,
20M_mix_Bmap_CLBGA_10_rep1,0.8778286565020671,0.1221713434979328,CelFiE,,,,
20M_mix_Bmap_CLBGA_25_rep1,0.6992825430280377,0.3007174569719623,CelFiE,,,,
20M_mix_Bmap_CLBGA_50_rep1,0.4317182805743212,0.5682817194256787,CelFiE,,,,
20M_mix_Bmap_CLBGA_100_rep1,0.0024855475931576,0.9975144524068422,CelFiE,,,,
20M_mix_Bmap_CLBGA_0_rep1,0.997,0.003, meth_atlas,,,,
20M_mix_Bmap_CLBGA_10_rep1,0.865,0.135, meth_atlas,,,,
20M_mix_Bmap_CLBGA_25_rep1,0.708,0.292, meth_atlas,,,,
20M_mix_Bmap_CLBGA_50_rep1,0.483,0.517, meth_atlas,,,,
20M_mix_Bmap_CLBGA_100_rep1,0.0,1.0, meth_atlas,,,,
X20M_mix_Bmap_CLBGA_0_rep1,1.0,0.0, CIBERSORT,,,,
X20M_mix_Bmap_CLBGA_10_rep1,0.92271127934051,0.0772887206594904, CIBERSORT,,,,
X20M_mix_Bmap_CLBGA_25_rep1,0.749367247822986,0.250632752177014, CIBERSORT,,,,
X20M_mix_Bmap_CLBGA_50_rep1,0.477043731318656,0.522956268681344, CIBERSORT,,,,
X20M_mix_Bmap_CLBGA_100_rep1,0.0,1.0, CIBERSORT,,,,
X20M_mix_Bmap_CLBGA_0_rep1,1.0,0.0, EpiDISH,,,,
X20M_mix_Bmap_CLBGA_10_rep1,0.920208095008453,0.0797919049915467, EpiDISH,,,,
X20M_mix_Bmap_CLBGA_25_rep1,0.749614342721529,0.250385657278471, EpiDISH,,,,
X20M_mix_Bmap_CLBGA_50_rep1,0.484897076706536,0.515102923293464, EpiDISH,,,,
X20M_mix_Bmap_CLBGA_100_rep1,0.0,1.0, EpiDISH,,,,
X20M_mix_Bmap_CLBGA_0_rep1,0.0,1.0, Methyl_Resolver,,,,
X20M_mix_Bmap_CLBGA_10_rep1,0.5,0.5, Methyl_Resolver,,,,
X20M_mix_Bmap_CLBGA_25_rep1,0.5,0.5, Methyl_Resolver,,,,
X20M_mix_Bmap_CLBGA_50_rep1,0.5,0.5, Methyl_Resolver,,,,
X20M_mix_Bmap_CLBGA_100_rep1,1.0,0.0, Methyl_Resolver,,,,
X20M_mix_Bmap_CLBGA_0_rep1,1.0,0.0, EpiSCORE,,,,
X20M_mix_Bmap_CLBGA_10_rep1,0.936651324086166,0.0633486759138342, EpiSCORE,,,,
X20M_mix_Bmap_CLBGA_25_rep1,0.765014141980009,0.234985858019991, EpiSCORE,,,,
X20M_mix_Bmap_CLBGA_50_rep1,0.490033858939616,0.509966141060384, EpiSCORE,,,,
X20M_mix_Bmap_CLBGA_100_rep1,0.0,1.0, EpiSCORE,,,,
X20M_mix_Bmap_CLBGA_0_rep1,0.9961,0.0039, PRMeth,,,,
X20M_mix_Bmap_CLBGA_10_rep1,0.8633,0.1367, PRMeth,,,,
X20M_mix_Bmap_CLBGA_25_rep1,0.6952,0.3048, PRMeth,,,,
X20M_mix_Bmap_CLBGA_50_rep1,0.4473,0.5527, PRMeth,,,,
X20M_mix_Bmap_CLBGA_100_rep1,0.0,1.0, PRMeth,,,,
X20M_mix_Bmap_CLBGA_0_rep1,,, MeDeCom,0.0,1.0,,
X20M_mix_Bmap_CLBGA_100_rep1,,, MeDeCom,1.0,0.0,,
X20M_mix_Bmap_CLBGA_25_rep1,,, MeDeCom,0.270211113172048,0.729788886827952,,
X20M_mix_Bmap_CLBGA_10_rep1,,, MeDeCom,0.102864323173398,0.897135676826602,,
X20M_mix_Bmap_CLBGA_50_rep1,,, MeDeCom,0.523060892872698,0.476939107127302,,
X20M_mix_Bmap_CLBGA_0_rep1,,, PRMeth_RF,,,1.0,0.0
X20M_mix_Bmap_CLBGA_100_rep1,,, PRMeth_RF,,,0.0,1.0
X20M_mix_Bmap_CLBGA_25_rep1,,, PRMeth_RF,,,0.7298,0.2702
X20M_mix_Bmap_CLBGA_10_rep1,,, PRMeth_RF,,,0.8971,0.1029
X20M_mix_Bmap_CLBGA_50_rep1,,, PRMeth_RF,,,0.4769,0.5231
