chr	start	end	healthy	nbl
chr1	2165591	2165743	0	1
chr1	6265998	6266089	0	0.979616666666667
chr1	6266090	6266127	0.00258398	0.977580333333333
chr1	6266239	6266285	0.00328362	0.978014333333333
chr1	6265894	6265992	0.00666666666666667	0.976364333333333
chr1	6266128	6266213	0.00462963333333333	0.974143333333333
chr1	6266286	6266333	0	0.968229333333333
chr1	6266416	6266521	0.0124251133333333	0.975585333333333
chr1	7022191	7022294	0.0226757333333333	0.981012666666667
chr1	842054	842117	0	0.952469666666667
chr1	6266334	6266415	0	0.950929666666667
chr1	7022093	7022190	0.0264759666666667	0.965253666666667
chr1	1714001	1714082	0.0458578333333333	0.982919333333333
chr1	1565706	1565748	0.0474644333333333	0.982915333333333
chr1	9299955	9300008	0.0128205	0.942982333333333
chr1	1565636	1565705	0	0.92804
chr1	2165744	2165910	0	0.915598333333333
chr1	6088485	6088559	0.0358024666666667	0.946878
chr1	2166066	2166106	0.0123456666666667	0.918938666666667
chr1	6266733	6266830	0.0886787666666667	0.985938333333333
chr1	6265842	6265878	0.0855210666666667	0.976102333333333
chr1	6054784	6054948	0.0833333333333333	0.972222333333333
chr1	6408732	6408819	0	0.884615333333333
chr1	2232330	2232468	0	0.881821666666667
chr1	8455252	8455336	0.0786046	0.955575
chr1	7709234	7709365	0	0.876488
chr1	7022041	7022092	0.1192799	0.989664
chr1	842143	842208	0.0079365	0.876927666666667
chr1	7676532	7676617	0.0833333333333333	0.952097333333333
chr1	9689803	9689848	0.0990574333333333	0.967391333333333
chr1	1565223	1565270	0.0974580333333333	0.964157666666667
chr1	1566014	1566129	0.0835150333333333	0.948991666666667
chr1	3634718	3634753	0.0753127333333333	0.936230666666667
chr1	4771693	4771730	0.0414856	0.898131
chr1	6086715	6086842	0	0.852777666666667
chr1	6526055	6526196	0.0357143333333333	0.888027333333333
chr1	1566197	1566232	0.123050666666667	0.974913333333333
chr1	2232144	2232329	0.0222222333333333	0.872325666666667
chr1	6265806	6265841	0.121503033333333	0.964814666666667
chr1	1564794	1564856	0.0967973	0.938991
chr1	6520693	6520771	0.0372617	0.875813666666667
chr1	2253736	2253765	0.119183433333333	0.956241333333333
chr1	1564690	1564720	0.117154	0.950403
chr1	6221905	6222017	0.118253966666667	0.950595333333333
chr1	2137136	2137185	0.0727421333333333	0.904915333333333
chr1	1564857	1564961	0.102656933333333	0.933437666666667
chr1	2487751	2487813	0	0.826425333333333
chr1	6266831	6266922	0.1278002	0.951785
chr1	6520598	6520692	0.0416666666666667	0.864136333333333
chr1	1564491	1564532	0.111646233333333	0.929244
chr1	1566130	1566196	0.0921694666666667	0.909695666666667
chr1	2460431	2460587	0	0.814815
chr1	2232501	2232568	0.0409356666666667	0.854351333333333
chr1	2232569	2232615	0.02041743	0.832207
chr1	6775233	6775269	0	0.811111
chr1	9378117	9378255	0.1250001	0.929166666666667
chr1	4771522	4771688	0.037037	0.826023333333333
chr1	1564731	1564793	0.0969995333333333	0.878793
chr1	2460621	2460765	0	0.775252666666667
chr1	1093876	1093939	0.0849314	0.858382333333333
chr1	971290	971392	0	0.766778666666667
chr1	8181187	8181267	0	0.760669666666667
chr1	1566579	1566639	0	0.75892
chr1	864313	864414	0.148379566666667	0.905526
chr1	901954	902046	0.0174881666666667	0.767581666666667
chr1	7130101	7130186	0.0740741666666667	0.822965
chr1	1609551	1609597	0.176667333333333	0.921376
chr1	2137257	2137317	0.206666666666667	0.948294333333333
chr1	3514899	3514989	0.137446833333333	0.875057666666667
chr1	845430	845457	0.042506	0.77978
chr1	8448353	8448471	0.265306	1
