,chr,start,end,healthy1-V,healthy2-V,healthy3-V,nbl1-V,nbl2-V,nbl3-V
0,chr1,10497,10588,0.938053,0.84127,0.902439,0.972149,0.968421,0.946197
1,chr1,133165,133216,1.0,0.955882,0.972222,0.851562,0.972973,1.0
2,chr1,136876,136924,0.884181,0.934272,0.959184,0.927052,0.972678,0.989583
3,chr1,136925,136973,0.0,0.0535714,0.0588235,0.170984,0.163934,0.101695
4,chr1,137120,137168,0.9,1.0,1.0,0.859649,0.9375,1.0
5,chr1,137169,137217,0.0,0.0,0.0,0.210526,0.0,0.117647
6,chr1,661865,661927,0.986111,0.927536,1.0,0.885965,1.0,0.972222
7,chr1,662609,662656,1.0,0.866667,1.0,0.953846,1.0,1.0
8,chr1,662657,662705,0.961905,0.979798,0.936508,0.926437,0.971014,0.978723
9,chr1,662706,662880,0.0,0.0344828,0.0,0.0787402,0.0238095,0.0
10,chr1,663109,663152,0.96875,1.0,1.0,0.983146,0.982759,0.916667
11,chr1,713376,713452,0.824885,0.859756,0.7,0.814529,0.75,0.125
12,chr1,714254,714299,0.00319489,0.0,0.0,0.0240964,0.0162162,0.0252101
13,chr1,714443,714509,0.0,0.0,0.0,0.0346667,0.0521739,0.0235294
14,chr1,714532,714582,0.0,0.0,0.0,0.00728155,0.02,0.0222222
15,chr1,754137,754173,0.945122,0.964286,0.9125,0.962264,0.981818,0.946429
16,chr1,762669,762718,0.0,0.0,0.0,0.0241546,0.0,0.0
17,chr1,762793,762881,0.0,0.0,0.037037,0.0114943,0.0138889,0.0714286
18,chr1,762897,762971,0.016129,0.0222222,0.0,0.00645161,0.020202,0.015873
19,chr1,764502,764632,1.0,1.0,1.0,1.0,0.75,1.0
20,chr1,793769,793866,0.5,0.285714,0.2,0.08,0.733333,1.0
21,chr1,799085,799186,0.810811,1.0,1.0,0.6875,1.0,1.0
22,chr1,805327,805410,0.0,0.010989,0.0204082,0.00641026,0.0324675,0.0204082
23,chr1,805411,805466,0.0,0.0,0.0,0.0189456,0.025,0.0133333
24,chr1,805467,805521,0.0818966,0.102679,0.163043,0.0635762,0.0336538,0.0333333
25,chr1,809122,809177,1.0,1.0,0.986111,0.804651,0.969231,0.6
26,chr1,830549,830682,1.0,0.954545,0.944444,1.0,0.708333,1.0
27,chr1,834330,834498,1.0,0.968254,0.714286,0.773913,0.830357,0.353659
28,chr1,838295,838370,0.885417,0.939394,1.0,0.924706,0.974359,0.979167
29,chr1,839355,839434,0.875,0.804348,0.796296,0.942197,0.805556,0.904762
30,chr1,839435,839515,0.690909,0.621212,0.75,0.566901,0.846154,0.65625
31,chr1,839516,839591,0.974359,0.882353,0.822581,0.974729,0.975,0.904762
32,chr1,839761,839798,0.0,0.449275,0.461538,0.479651,0.138889,0.0
33,chr1,839805,839846,0.0128205,0.453125,0.125,0.0697674,0.0352941,0.0
34,chr1,840132,840230,0.0,0.0,0.0,0.0,0.0106952,0.0
35,chr1,840239,840278,0.0,0.0,0.0,0.025641,0.0,0.0
36,chr1,840279,840318,0.0,0.0,0.0125,0.00841346,0.0342857,0.0333333
37,chr1,840319,840356,0.0214286,0.0,0.0,0.0112202,0.0357143,0.0202703
38,chr1,840816,840852,0.0169492,0.0208333,0.0,0.0214521,0.163265,0.0119048
39,chr1,842054,842117,0.0,0.0,0.0,0.905028,1.0,0.952381
40,chr1,842143,842208,0.0238095,0.0,0.0,0.682731,0.948052,1.0
41,chr1,843221,843313,0.933333,0.912281,0.933333,0.881844,0.987179,0.97619
42,chr1,845201,845246,0.916667,0.851852,0.863636,0.970149,0.986111,0.97561
43,chr1,845247,845310,0.483333,0.325,0.46875,0.96817,0.914634,0.727273
44,chr1,845336,845375,0.0810811,0.0722222,0.0833333,0.911608,0.884211,0.211111
45,chr1,845376,845429,0.222222,0.0,0.111111,0.960993,1.0,0.552632
46,chr1,845430,845457,0.0149254,0.0533333,0.0592593,0.945441,0.984375,0.409524
47,chr1,845458,845560,0.0,0.0,0.0131579,0.742424,0.966667,0.115789
48,chr1,845561,845587,0.0,0.0,0.0,0.762411,0.980769,0.0
49,chr1,845588,845703,0.0,0.0,0.0,0.588026,0.954286,0.0298507
50,chr1,845737,845809,0.0151515,0.036036,0.12,0.415704,0.972222,0.0
51,chr1,845810,845846,0.0795455,0.1625,0.25,0.374477,0.967105,0.148649
52,chr1,845847,845934,0.625,0.75,0.733333,0.660839,0.969697,0.214286
53,chr1,848508,848592,0.444444,0.791667,0.833333,0.864583,0.967742,1.0
54,chr1,848593,848661,0.8125,1.0,1.0,0.884817,0.990385,0.981481
55,chr1,849137,849283,0.75,0.916667,1.0,0.554054,0.942308,0.833333
56,chr1,850075,850251,0.947368,1.0,0.5,0.909091,1.0,1.0
57,chr1,851915,852015,0.230769,0.113636,0.05,0.00757576,0.0,0.0
58,chr1,852027,852132,0.0,0.131579,0.133333,0.0133929,0.0,0.0
59,chr1,853825,853924,0.75,1.0,1.0,0.666667,1.0,0.75
60,chr1,856120,856298,0.0,1.0,0.0,0.0,0.0,0.0
61,chr1,856643,856692,0.0,0.0,0.0,0.015528,0.029703,0.0481928
62,chr1,858979,859028,0.0,0.00625,0.0,0.00922509,0.142857,0.0121951
63,chr1,859047,859085,0.0,0.0322581,0.0,0.0242424,0.0285714,0.0357143
64,chr1,859086,859172,0.0,0.0238095,0.0,0.011583,0.0471698,0.0
65,chr1,859173,859204,0.00568182,0.0,0.0,0.0157895,0.012931,0.0214286
66,chr1,859205,859263,0.0,0.0,0.0,0.0261628,0.00396825,0.0763889
67,chr1,859264,859328,0.0,0.0,0.00515464,0.0116009,0.0357143,0.0208333
68,chr1,859329,859374,0.0,0.0,0.00823045,0.0206186,0.00928074,0.0574324
69,chr1,859375,859437,0.0,0.0,0.0,0.0131944,0.0246154,0.0120482
70,chr1,859438,859468,0.00641026,0.0131579,0.0,0.0197327,0.0277778,0.02
71,chr1,859530,859575,0.0238095,0.0217391,0.0,0.0138224,0.0188679,0.0144928
72,chr1,859637,859680,0.0,0.0166205,0.0,0.0134146,0.016129,0.0601852
73,chr1,859727,859751,0.0,0.0,0.0,0.0,0.0,0.0
74,chr1,859776,859802,0.0185185,0.0,0.0,0.05,0.0,0.0
75,chr1,859837,859953,0.0,0.0135135,0.0,0.0153153,0.0349127,0.0471014
76,chr1,859954,859981,0.00930233,0.0,0.0,0.0132231,0.00888889,0.0410959
77,chr1,860354,860399,0.0,0.0344828,0.0,0.0291815,0.0484848,0.0636364
78,chr1,860663,860698,0.00330033,0.0222222,0.0,0.0274123,0.0333333,0.0441176
79,chr1,861021,861053,0.0225989,0.018018,0.0,0.00944882,0.0,0.0652174
80,chr1,861054,861098,0.0,0.0,0.0,0.0238957,0.0181818,0.0104167
81,chr1,861099,861217,0.0,0.0166667,0.0,0.025,0.0185185,0.0
82,chr1,863886,863941,0.975,0.953704,0.873016,0.962567,0.971631,0.979798
83,chr1,863942,864129,1.0,1.0,0.9375,1.0,0.96875,1.0
84,chr1,864313,864414,0.222222,0.15625,0.0666667,0.771084,0.976744,0.96875
85,chr1,864415,864526,0.375,0.833333,0.833333,0.920455,0.982759,1.0
86,chr1,864803,864878,1.0,0.977273,0.916667,0.89899,0.952381,0.964286
87,chr1,865538,865582,0.972222,0.96875,0.915493,0.941298,0.96875,0.992063
88,chr1,865733,865806,1.0,0.928571,1.0,1.0,1.0,1.0
89,chr1,866640,866738,1.0,0.714286,1.0,0.939394,1.0,1.0
90,chr1,867870,867937,0.981481,0.977273,0.983871,0.915663,0.98,0.955882
91,chr1,868475,868569,1.0,0.983871,0.875,0.930769,0.955882,1.0
92,chr1,869150,869288,0.5,0.545455,0.333333,0.0,0.818182,1.0
93,chr1,870573,870636,0.486339,0.35,0.289474,0.0188679,0.604167,0.0357143
94,chr1,870810,870885,0.454545,0.342105,0.0,0.0322581,0.441176,0.4
95,chr1,871136,871274,1.0,1.0,0.0,0.0454545,0.0,0.0833333
96,chr1,871507,871652,0.8,0.64,0.425532,0.0310559,0.333333,0.452381
97,chr1,872335,872384,0.916667,0.788462,0.9,0.85461,0.637363,0.794118
98,chr1,872385,872427,0.909639,0.892857,0.960526,0.919081,0.835106,0.836957
99,chr1,872428,872517,0.865079,0.948718,0.976471,0.932584,0.95625,0.974359
100,chr1,872518,872614,0.944444,0.684211,0.769231,0.657343,0.866667,0.904762
101,chr1,873092,873166,0.956989,0.888889,0.921569,0.78291,0.944444,0.857143
102,chr1,874638,874696,0.871795,0.771429,0.888889,0.480204,0.935673,0.790123
103,chr1,875227,875308,0.428571,0.0,0.3125,0.109375,0.375,0.285714
104,chr1,875309,875363,0.211679,0.0135135,0.0555556,0.0340716,0.107143,0.0192308
105,chr1,875364,875468,0.153846,0.05,0.157895,0.0239726,0.19,0.0333333
106,chr1,875731,875785,0.0,0.0,0.0,0.008,0.0384615,0.0833333
107,chr1,875786,875810,0.0,0.0,0.0,0.0,0.0,0.0
108,chr1,875816,875919,0.0,0.0,0.0,0.00287356,0.0206186,0.0381679
109,chr1,875920,876026,0.0,0.0,0.0,0.00609756,0.0441989,0.116667
110,chr1,876538,876642,0.0,0.0789474,0.0,0.0612245,0.21875,0.25
111,chr1,876643,876806,0.0,0.0,0.0,0.0300231,0.228188,0.28169
112,chr1,876948,877030,0.0,0.0192308,0.0181818,0.0161943,0.0133333,0.08
113,chr1,877078,877157,0.0,0.0,0.0,0.0185615,0.0211268,0.214286
114,chr1,877171,877199,0.0,0.03125,0.0,0.015873,0.0272109,0.05
115,chr1,877200,877269,0.0108108,0.0,0.0,0.0218069,0.0209205,0.0234375
116,chr1,877270,877313,0.0,0.0159574,0.0,0.0254237,0.0394737,0.0170455
117,chr1,877314,877357,0.00337838,0.0,0.00320513,0.0140485,0.03125,0.0384615
118,chr1,877358,877423,0.0,0.00512821,0.00555556,0.0547771,0.0332226,0.0412371
119,chr1,877424,877456,0.0,0.0,0.0,0.0271084,0.00961538,0.0126582
120,chr1,877684,877714,0.0769231,0.00952381,0.0,0.0141844,0.047619,0.166667
121,chr1,877737,877866,0.015873,0.0075188,0.0,0.0255814,0.0425532,0.333333
