"DMR","MethylDiff","AveExpr","t","P.Value","adj.P.Val","B","Contrast","healthy","nbl"
"7:157484875-157484929",-0.932566666666667,0.48005,-27.4171155400445,1.63526800703766e-06,0.000100387009011301,5.65241292001336,"healthy-all",0.0137666666666667,0.946333333333333
"1:16554402-16554459",-0.880066666666667,0.530433333333333,-27.3778878421388,1.64661562046205e-06,0.00010092976811511,5.64424547635823,"healthy-all",0.0904,0.970466666666667
"7:3083400-3083445",-0.906033333333333,0.453016666666667,-27.3662458117018,1.65000161489511e-06,0.000100983609473315,5.64181922422821,"healthy-all",0,0.906033333333333
"6:74024433-74024483",-0.741566666666667,0.591416666666667,-27.3515609347991,1.65428456949144e-06,0.000101092099996949,5.63875731805112,"healthy-all",0.220633333333333,0.9622
"11:2883698-2883770",-0.826366666666667,0.562816666666667,-27.2478668383732,1.68491198123128e-06,0.000102664109343294,5.61708820429294,"healthy-all",0.149633333333333,0.976
"10:88392026-88392094",-0.910933333333333,0.455466666666667,-27.2472111798338,1.68510780154248e-06,0.000102664109343294,5.61695092135549,"healthy-all",0,0.910933333333333
"17:17603643-17603700",-0.456666666666667,0.7237,-27.1801072899015,1.70529499653663e-06,0.000103737061639768,5.60288264326144,"healthy-all",0.495366666666667,0.952033333333333
"12:6184467-6184556",-0.910266666666667,0.487166666666667,-27.1600058641015,1.71139883493378e-06,0.000103951346126121,5.59866146142338,"healthy-all",0.0320333333333333,0.9423
"2:232526882-232526944",-0.9191,0.461283333333333,-27.1425943378364,1.71670716425921e-06,0.000104116738270908,5.59500255286163,"healthy-all",0.00173333333333333,0.920833333333333
"12:6882913-6882973",-0.873133333333333,0.524966666666667,-27.0615451205308,1.74167964069897e-06,0.000105472452346749,5.57793890379932,"healthy-all",0.0884,0.961533333333333
"5:172110966-172111013",-0.516166666666667,0.719983333333333,-27.0182304386182,1.75520494884708e-06,0.000106131919662193,5.56879818111352,"healthy-all",0.4619,0.978066666666667
"19:30713762-30713808",-0.9307,0.481416666666667,-26.9245538449751,1.78489140196923e-06,0.000107765159893108,5.54897808933959,"healthy-all",0.0160666666666667,0.946766666666667
"18:72191913-72191980",-0.502,0.710233333333333,-26.8310610641255,1.81512480389397e-06,0.000109426483499422,5.52912632376182,"healthy-all",0.459233333333333,0.961233333333333
"20:3052495-3052616",-0.927,0.4635,-26.7980546661891,1.82594541364454e-06,0.000109914271678444,5.52210099314852,"healthy-all",0,0.927
