chr	start	end	20M_mix_Bmap_CLBGA_0_rep1_meth	20M_mix_Bmap_CLBGA_0_rep1_depth	20M_mix_Bmap_CLBGA_10_rep1_meth	20M_mix_Bmap_CLBGA_10_rep1_depth	20M_mix_Bmap_CLBGA_25_rep1_meth	20M_mix_Bmap_CLBGA_25_rep1_depth	20M_mix_Bmap_CLBGA_50_rep1_meth	20M_mix_Bmap_CLBGA_50_rep1_depth	20M_mix_Bmap_CLBGA_100_rep1_meth	20M_mix_Bmap_CLBGA_100_rep1_depth	chr	start	end	healthy_meth	healthy_depth	nbl_meth	nbl_depth
1	1564794	1564856	30.0	250.0	62.0	274.0	84	274	75	182	206	216	1	1564794	1564856	68.0	706.0	2949.0	3252.0
1	1566130	1566196	10.0	147.0	22.0	126.0	39	140	73	147	165	189	1	1566130	1566196	55.0	538.0	2261.0	2430.0
1	3342108	3342199	149.0	178.0	150.0	185.0	146	191	116	162	34	84	1	3342108	3342199	384.0	391.0	307.0	686.0
1	3567852	3567910	25.0	120.0	36.0	120.0	53	126	77	126	116	148	1	3567852	3567910	124.0	504.0	705.0	778.0
1	6511938	6512019	150.0	180.0	150.0	186.0	124	174	61	120	7	66	1	6511938	6512019	285.0	312.0	35.0	408.0
1	16554402	16554459	15.0	168.0	37.0	192.0	78	198	124	191	182	185	1	16554402	16554459	32.0	342.0	587.0	609.0
1	17019258	17019322	21.0	105.0	22.0	90.0	32	85	65	115	148	190	1	17019258	17019322	44.0	370.0	761.0	814.0
1	19992124	19992185	19.0	176.0	77.0	240.0	102	240	116	224	145	168	1	19992124	19992185	24.0	519.0	914.0	1313.0
1	26757965	26758032	60.0	195.0	68.0	185.0	66	165	73	150	58	70	1	26757965	26758032	154.0	418.0	828.0	866.0
1	32054605	32054656	24.0	138.0	39.0	132.0	69	145	94	140	128	132	1	32054605	32054656	86.0	420.0	527.0	544.0
1	33772826	33772919	115.0	288.0	141.0	288.0	224	378	194	262	186	190	1	33772826	33772919	212.0	424.0	633.0	646.0
1	35258657	35258720	6.0	120.0	26.0	125.0	33	109	65	131	144	206	1	35258657	35258720	9.0	405.0	527.0	998.0
1	35331575	35331656	0.0	91.0	0.0	102.0	22	124	65	145	134	143	1	35331575	35331656	0.0	198.0	385.0	441.0
1	36788106	36788196	35.0	365.0	99.0	387.0	155	376	242	373	427	438	1	36788106	36788196	34.0	342.0	1261.0	1318.0
1	79472408	79472438	5.0	68.0	17.0	68.0	34	70	69	102	125	134	1	79472408	79472438	33.0	345.0	928.0	1025.0
1	110611515	110611559	12.0	175.0	47.0	204.0	104	242	180	308	387	398	1	110611515	110611559	20.0	497.0	2922.0	3027.0
1	110611592	110611665	3.0	108.0	48.0	144.0	92	172	181	236	323	326	1	110611592	110611665	13.0	378.0	1637.0	1741.0
1	110754612	110754651	42.0	237.0	77.0	264.0	120	257	159	223	265	281	1	110754612	110754651	176.0	895.0	1436.0	1494.0
1	151811161	151811262	13.0	240.0	27.0	240.0	81	270	122	270	302	315	1	151811161	151811262	27.0	300.0	1032.0	1053.0
1	156358322	156358348	5.0	162.0	77.0	218.0	134	246	198	276	345	383	1	156358322	156358348	14.0	1022.0	2184.0	2863.0
1	156358413	156358493	2.0	78.0	2.0	72.0	2	66	23	94	34	34	1	156358413	156358493	14.0	316.0	350.0	377.0
1	156893961	156894021	9.0	161.0	33.0	154.0	59	168	122	190	245	260	1	156893961	156894021	28.0	471.0	880.0	987.0
1	182922101	182922174	23.0	259.0	43.0	268.0	71	241	108	188	164	180	1	182922101	182922174	69.0	727.0	2449.0	2631.0
1	201253196	201253286	12.0	130.0	31.0	140.0	50	150	120	180	217	220	1	201253196	201253286	37.0	180.0	620.0	630.0
1	203045632	203045715	0.0	30.0	20.0	45.0	52	85	75	100	155	165	1	203045632	203045715	10.0	193.0	618.0	690.0
1	208132575	208132684	0.0	48.0	10.0	60.0	10	60	22	60	68	84	1	208132575	208132684	1.0	204.0	743.0	785.0
1	209979613	209979664	5.0	105.0	19.0	115.0	47	135	104	160	192	198	1	209979613	209979664	6.0	290.0	1026.0	1180.0
1	214153409	214153474	14.0	192.0	59.0	217.0	115	252	166	244	328	337	1	214153409	214153474	40.0	600.0	1572.0	1619.0
10	22541738	22541794	0.0	352.0	36.0	384.0	58	344	146	360	264	352	10	22541738	22541794	3.0	904.0	1185.0	1267.0
10	65801396	65801470	40.0	138.0	49.0	132.0	62	132	65	108	129	144	10	65801396	65801470	73.0	360.0	688.0	741.0
10	72014862	72014912	61.0	155.0	85.0	171.0	120	205	162	223	218	232	10	72014862	72014912	131.0	444.0	494.0	525.0
10	77155864	77155930	0.0	95.0	11.0	96.0	45	121	110	161	225	227	10	77155864	77155930	31.0	380.0	828.0	853.0
10	88149580	88149640	58.0	288.0	85.0	288.0	126	306	225	366	342	348	10	88149580	88149640	134.0	711.0	2009.0	2077.0
10	88296558	88296617	21.0	165.0	38.0	160.0	76	185	106	170	171	180	10	88296558	88296617	35.0	440.0	581.0	616.0
