,chr,start,end,nbl2-V,healthy2-V,nbl1-V,nbl0-V,healthy1-V,healthy0-V
0,1,10497,10588,0.9462,0.9024,0.9684,0.9721,0.8413,0.9381
1,1,714254,714299,0.0252,0.0,0.0162,0.0241,0.0,0.0032
2,1,805411,805466,0.0133,0.0,0.025,0.0189,0.0,0.0
3,1,805467,805521,0.0333,0.163,0.0337,0.0638,0.1027,0.0819
4,1,838295,838370,0.9792,1.0,0.9744,0.9247,0.9394,0.8854
5,1,840279,840318,0.0333,0.0125,0.0343,0.0084,0.0,0.0
6,1,845336,845375,0.2111,0.0833,0.8842,0.9116,0.0722,0.0811
7,1,845458,845560,0.1667,0.0133,0.9653,0.7716,0.0,0.0
8,1,859205,859263,0.0764,0.0,0.004,0.0262,0.0,0.0
9,1,859329,859374,0.0574,0.0082,0.0093,0.0206,0.0,0.0
10,1,859375,859437,0.0168,0.0,0.0275,0.0139,0.0,0.0
11,1,859530,859575,0.0145,0.0,0.0189,0.0139,0.0217,0.0238
12,1,859637,859680,0.0602,0.0,0.0161,0.0134,0.0167,0.0
13,1,859837,859953,0.0508,0.0,0.0264,0.0149,0.0143,0.0
14,1,860354,860399,0.0636,0.0,0.0485,0.0292,0.0345,0.0
15,1,875731,875785,0.0833,0.0,0.0385,0.008,0.0,0.0
16,1,876948,877030,0.08,0.0182,0.0133,0.0163,0.0194,0.0
17,1,877200,877269,0.0234,0.0,0.021,0.0219,0.0,0.0109
18,1,877270,877313,0.017,0.0,0.0395,0.0254,0.016,0.0
19,1,877314,877357,0.0385,0.0032,0.0312,0.014,0.0,0.0034
20,1,877358,877423,0.0556,0.0,0.0167,0.0665,0.0048,0.0
21,1,877867,877902,0.3766,0.0159,0.0227,0.0507,0.0,0.0179
22,1,879370,879451,0.5245,0.9187,0.9398,0.5241,0.9278,0.8323
23,1,895128,895200,0.2738,0.4821,0.4767,0.9151,0.3413,0.4167
24,1,895201,895236,0.1,0.0308,0.1167,0.7768,0.04,0.0512
25,1,896009,896063,0.0329,0.0,0.0323,0.0152,0.0,0.0
26,1,896139,896176,0.0075,0.0,0.0191,0.0149,0.0,0.0
27,1,896438,896517,0.0227,0.003,0.0241,0.0274,0.0043,0.0
28,1,896557,896599,0.0533,0.0231,0.0505,0.0188,0.032,0.0211
29,1,901954,902046,0.8333,0.0175,0.9363,0.5331,0.0238,0.0111
30,1,902047,902107,0.2419,0.0183,0.98,0.0205,0.0078,0.0
31,1,902176,902281,0.0682,0.0,0.9744,0.0364,0.0,0.0
32,1,902438,902504,0.0571,0.0064,0.9708,0.0177,0.0,0.0
33,1,907038,907117,0.7556,0.8718,0.8788,0.821,0.808,0.9167
34,1,911470,911539,0.0308,0.04,0.02,0.024,0.0114,0.0
35,1,914508,914570,0.8533,0.9486,0.952,0.6391,0.9111,0.9692
36,1,914693,914763,0.4261,0.912,0.9156,0.3444,0.8903,0.9245
37,1,916058,916114,0.1818,0.9027,0.4643,0.0773,0.852,0.85
38,1,933516,933552,0.4267,0.0919,0.2286,0.7352,0.1316,0.076
39,1,933655,933711,0.2,0.0,0.2183,0.0661,0.0128,0.0
40,1,933712,933756,0.1111,0.0657,0.1481,0.0673,0.0375,0.1034
41,1,934205,934265,0.0648,0.0,0.029,0.0315,0.0088,0.0
42,1,934469,934508,0.0438,0.0051,0.0141,0.0318,0.0,0.0048
43,1,934768,934845,0.0227,0.0,0.0606,0.0383,0.0,0.0
44,1,935300,935335,0.291,0.0,0.0,0.1037,0.0056,0.0222
45,1,935336,935377,0.1667,0.0,0.0577,0.0605,0.0152,0.0
46,1,935378,935462,0.0938,0.0268,0.0478,0.0228,0.0312,0.0104
47,1,935463,935533,0.0297,0.0196,0.0255,0.0322,0.0333,0.0
48,1,935534,935617,0.0361,0.0077,0.0251,0.042,0.0,0.0
49,1,935618,935695,0.0,0.0,0.0,0.0396,0.0,0.0
50,1,936515,936578,0.075,0.0143,0.1,0.0337,0.0,0.0
51,1,937048,937120,0.0,0.0,0.0208,0.1649,0.0132,0.0
52,1,937121,937235,0.0563,0.0,0.0231,0.1885,0.1154,0.0769
53,1,937236,937290,0.0,0.0065,0.0179,0.0187,0.0,0.0221
54,1,953839,953931,0.975,0.98,0.9684,0.8455,0.9565,0.9273
55,1,954985,955029,0.0309,0.0,0.0273,0.0182,0.0,0.0
56,1,955087,955154,0.0656,0.0,0.0057,0.01,0.0105,0.0
