"DMR","MethylDiff","AveExpr","t","P.Value","adj.P.Val","B","Contrast","healthy","nbl"
"7:157484875-157484929",-0.932566666666667,0.48005,-27.4171155400446,1.63526800703765e-06,0.000100387009011301,5.65241292001337,"healthy-all",0.0137666666666667,0.946333333333333
"1:16554402-16554459",-0.880066666666666,0.530433333333333,-27.3778878421388,1.64661562046207e-06,0.000100929768115111,5.64424547635821,"healthy-all",0.0904,0.970466666666667
"7:3083400-3083445",-0.906033333333333,0.453016666666667,-27.3662458117018,1.65000161489509e-06,0.000100983609473314,5.64181922422822,"healthy-all",0,0.906033333333333
"6:74024433-74024483",-0.741566666666667,0.591416666666667,-27.351560934799,1.65428456949144e-06,0.00010109209999695,5.63875731805112,"healthy-all",0.220633333333333,0.9622
"11:2883698-2883770",-0.826366666666666,0.562816666666667,-27.2478668383733,1.68491198123126e-06,0.000102664109343293,5.61708820429296,"healthy-all",0.149633333333333,0.976
"10:88392026-88392094",-0.910933333333333,0.455466666666667,-27.2472111798339,1.68510780154247e-06,0.000102664109343293,5.61695092135549,"healthy-all",0,0.910933333333333
"17:17603643-17603700",-0.456666666666666,0.7237,-27.1801072899016,1.70529499653659e-06,0.000103737061639766,5.60288264326147,"healthy-all",0.495366666666667,0.952033333333333
"12:6184467-6184556",-0.910266666666667,0.487166666666667,-27.1600058641014,1.7113988349338e-06,0.000103951346126123,5.59866146142336,"healthy-all",0.0320333333333333,0.9423
"2:232526882-232526944",-0.9191,0.461283333333333,-27.1425943378365,1.7167071642592e-06,0.000104116738270907,5.59500255286163,"healthy-all",0.00173333333333333,0.920833333333333
"12:6882913-6882973",-0.873133333333333,0.524966666666667,-27.0615451205308,1.74167964069897e-06,0.000105472452346749,5.57793890379933,"healthy-all",0.0884,0.961533333333333
"5:172110966-172111013",-0.516166666666667,0.719983333333333,-27.0182304386183,1.75520494884704e-06,0.000106131919662191,5.56879818111354,"healthy-all",0.4619,0.978066666666667
"19:30713762-30713808",-0.9307,0.481416666666667,-26.9245538449752,1.78489140196922e-06,0.000107765159893107,5.5489780893396,"healthy-all",0.0160666666666667,0.946766666666667
"18:72191913-72191980",-0.502,0.710233333333333,-26.8310610641256,1.81512480389396e-06,0.000109426483499421,5.52912632376183,"healthy-all",0.459233333333333,0.961233333333333
"20:3052495-3052616",-0.927,0.4635,-26.7980546661891,1.82594541364453e-06,0.000109914271678444,5.52210099314852,"healthy-all",0,0.927
"19:52996475-52996577",-0.829733333333333,0.486133333333333,-26.7528486850921,1.84089184691345e-06,0.000110648590398585,5.51246461951148,"healthy-all",0.0712666666666667,0.901
"7:37392953-37393048",-0.9112,0.528133333333333,-26.6128566273336,1.88812148507761e-06,0.000113318241915887,5.48251700050534,"healthy-all",0.0725333333333333,0.983733333333333
"12:113515860-113515906",-0.690933333333333,0.617733333333333,-26.5212516879864,1.91981757742548e-06,0.000115049067947175,5.46283314228094,"healthy-all",0.272266666666667,0.9632
"14:105663219-105663292",-0.938266666666667,0.473566666666667,-26.5121429147568,1.92300420148419e-06,0.000115068799699807,5.46087206921749,"healthy-all",0.00443333333333333,0.9427
"10:77155864-77155930",-0.893433333333333,0.521716666666667,-26.4613997184119,1.94087334178456e-06,0.000115965742354608,5.44993468488255,"healthy-all",0.075,0.968433333333333
"4:191043189-191043226",-0.183766666666667,0.88015,-26.3775260351166,1.97084999784821e-06,0.000117528278145955,5.43180911187211,"healthy-all",0.788266666666667,0.972033333333333
"8:1649614-1649701",-0.956,0.478,-26.3719522864244,1.97286176222755e-06,0.000117528278145955,5.43060250600753,"healthy-all",0,0.956
"14:58863105-58863175",-0.864266666666667,0.449633333333333,-26.3299288310177,1.98810942912884e-06,0.000118219172511096,5.42149686078458,"healthy-all",0.0175,0.881766666666667
"2:121345268-121345302",-0.8712,0.460866666666667,-26.3238398759023,1.99033048502702e-06,0.000118219172511096,5.42017627338611,"healthy-all",0.0252666666666667,0.896466666666667
"1:19992124-19992185",-0.657866666666667,0.374166666666667,-26.2175204903377,2.02959847322871e-06,0.000120374020788503,5.39706700917911,"healthy-all",0.0452333333333333,0.7031
"9:140918306-140918367",-0.851433333333333,0.55155,-26.1028537288672,2.07300056780161e-06,0.000122767361567557,5.37203580501056,"healthy-all",0.125833333333333,0.977266666666667
"12:38553016-38553120",0.782433333333333,0.467283333333333,26.0329914145148,2.0999922715135e-06,0.000124183243415742,5.35673007401201,"healthy-all",0.8585,0.0760666666666667
"13:110436915-110436968",0.4628,0.2453,26.0033651717218,2.1115662676688e-06,0.000124684582353798,5.35022676205469,"healthy-all",0.4767,0.0139
