,chr,start,end,healthy_depth,healthy_meth,nbl_depth,nbl_meth
0,1,10497,10588,598.0,540.0,3371.0,3261.0
12,1,714254,714299,628.0,1.0,553.0,12.0
20,1,805411,805466,519.0,0.0,1489.0,29.0
21,1,805467,805521,640.0,72.0,1080.0,59.0
23,1,838295,838370,408.0,378.0,629.0,592.0
30,1,840279,840318,850.0,3.0,1127.0,17.0
37,1,845336,845375,678.0,54.0,1219.0,1043.0
40,1,845458,845560,404.0,1.0,1049.0,801.0
52,1,859205,859263,804.0,0.0,1428.0,39.0
54,1,859329,859374,1161.0,2.0,3540.0,79.0
55,1,859375,859437,575.0,0.0,1702.0,28.0
57,1,859530,859575,564.0,8.0,2273.0,33.0
58,1,859637,859680,944.0,6.0,2104.0,39.0
60,1,859837,859953,694.0,2.0,2589.0,51.0
62,1,860354,860399,565.0,5.0,1680.0,56.0
81,1,875731,875785,630.0,0.0,630.0,22.0
84,1,876948,877030,218.0,3.0,371.0,9.0
86,1,877200,877269,662.0,2.0,1006.0,22.0
87,1,877270,877313,880.0,6.0,1424.0,39.0
88,1,877314,877357,864.0,2.0,1175.0,24.0
89,1,877358,877423,342.0,1.0,703.0,37.0
93,1,877867,877902,462.0,5.0,1293.0,87.0
95,1,879370,879451,478.0,427.0,1323.0,804.0
106,1,895128,895200,391.0,154.0,2455.0,1988.0
107,1,895201,895236,595.0,25.0,1439.0,825.0
112,1,896009,896063,576.0,0.0,2167.0,42.0
114,1,896139,896176,510.0,0.0,1657.0,25.0
116,1,896438,896517,1101.0,3.0,3357.0,90.0
118,1,896557,896599,570.0,15.0,1571.0,39.0
122,1,901954,902046,288.0,5.0,973.0,628.0
123,1,902047,902107,548.0,4.0,862.0,285.0
125,1,902176,902281,427.0,0.0,978.0,370.0
127,1,902438,902504,526.0,1.0,1530.0,260.0
135,1,907038,907117,275.0,235.0,832.0,681.0
141,1,911470,911539,325.0,5.0,716.0,17.0
149,1,914508,914570,595.0,560.0,1439.0,1030.0
152,1,914693,914763,386.0,350.0,1368.0,609.0
157,1,916058,916114,615.0,533.0,690.0,119.0
164,1,933516,933552,625.0,61.0,2319.0,1570.0
165,1,933655,933711,522.0,3.0,1734.0,177.0
166,1,933712,933756,612.0,40.0,1858.0,148.0
171,1,934205,934265,465.0,2.0,1930.0,64.0
172,1,934469,934508,680.0,2.0,3398.0,105.0
174,1,934768,934845,309.0,0.0,326.0,14.0
177,1,935300,935335,625.0,6.0,1268.0,141.0
178,1,935336,935377,522.0,2.0,1038.0,70.0
179,1,935378,935462,368.0,9.0,1935.0,60.0
180,1,935463,935533,439.0,8.0,1401.0,43.0
181,1,935534,935617,490.0,1.0,1616.0,61.0
182,1,935618,935695,253.0,0.0,864.0,26.0
189,1,936515,936578,480.0,2.0,1230.0,56.0
192,1,937048,937120,398.0,2.0,1331.0,176.0
193,1,937121,937235,156.0,9.0,636.0,89.0
194,1,937236,937290,567.0,6.0,707.0,12.0
201,1,953839,953931,275.0,261.0,504.0,443.0
205,1,954985,955029,344.0,0.0,1624.0,34.0
207,1,955087,955154,295.0,1.0,1138.0,14.0
208,1,955229,955260,470.0,0.0,1400.0,28.0
209,1,955275,955304,222.0,1.0,348.0,8.0
211,1,955511,955557,227.0,2.0,594.0,18.0
212,1,955572,955626,680.0,7.0,2312.0,46.0
213,1,955647,955695,456.0,1.0,983.0,23.0
230,1,968886,968923,750.0,8.0,1548.0,83.0
234,1,969237,969305,394.0,36.0,640.0,26.0
236,1,969547,969581,977.0,84.0,3106.0,165.0
242,1,975517,975579,244.0,2.0,867.0,162.0
243,1,975833,975880,445.0,11.0,1206.0,40.0
244,1,976050,976101,481.0,0.0,1179.0,26.0
245,1,976959,977033,450.0,427.0,1602.0,1524.0
249,1,979410,979501,231.0,230.0,834.0,736.0
287,1,994599,994657,377.0,11.0,1317.0,111.0
289,1,994825,994893,432.0,0.0,1599.0,17.0
293,1,995033,995095,504.0,0.0,1415.0,24.0
294,1,995096,995131,400.0,0.0,1215.0,35.0
295,1,995132,995169,589.0,1.0,1495.0,35.0
310,1,1002733,1002765,1278.0,1172.0,2686.0,2566.0
313,1,1004708,1004789,360.0,2.0,180.0,1.0
316,1,1005190,1005261,574.0,248.0,1425.0,668.0
321,1,1007423,1007480,760.0,605.0,1451.0,596.0
339,1,1017406,1017457,571.0,539.0,2340.0,2232.0
341,1,1018105,1018173,470.0,457.0,1611.0,1539.0
342,1,1018229,1018299,450.0,438.0,1570.0,1511.0
363,1,1023891,1023975,343.0,317.0,455.0,421.0
373,1,1047406,1047474,364.0,338.0,1125.0,1081.0
377,1,1051321,1051371,565.0,1.0,2161.0,44.0
379,1,1051575,1051639,204.0,0.0,522.0,5.0
380,1,1051763,1051795,440.0,0.0,2255.0,44.0
381,1,1051796,1051834,440.0,0.0,706.0,11.0
383,1,1052116,1052186,735.0,0.0,2263.0,59.0
402,1,1072469,1072513,515.0,27.0,2979.0,2752.0
418,1,1080084,1080155,522.0,234.0,1572.0,1062.0
423,1,1080599,1080700,328.0,297.0,1341.0,1219.0
454,1,1099388,1099461,264.0,247.0,1158.0,987.0
505,1,1118076,1118151,465.0,272.0,865.0,648.0
509,1,1118399,1118444,495.0,47.0,2804.0,2431.0
514,1,1133025,1133071,495.0,486.0,1330.0,902.0
520,1,1136771,1136809,1044.0,4.0,2561.0,124.0
521,1,1136829,1136895,560.0,2.0,2079.0,88.0
531,1,1141766,1141799,654.0,7.0,2039.0,1247.0
532,1,1141800,1141854,623.0,9.0,2144.0,1378.0
538,1,1146709,1146790,310.0,305.0,549.0,367.0
539,1,1146791,1146887,467.0,442.0,1018.0,803.0
546,1,1149104,1149178,385.0,42.0,334.0,194.0
557,1,1157522,1157589,483.0,411.0,1139.0,1098.0
565,1,1163629,1163717,267.0,261.0,593.0,582.0
570,1,1167218,1167255,310.0,0.0,835.0,15.0
571,1,1167305,1167338,170.0,2.0,1561.0,30.0
572,1,1167431,1167514,299.0,0.0,257.0,5.0
574,1,1167557,1167601,449.0,1.0,945.0,26.0
575,1,1167918,1167954,504.0,5.0,1367.0,37.0
576,1,1168410,1168456,616.0,485.0,1675.0,1635.0
577,1,1168687,1168728,666.0,632.0,3462.0,3387.0
578,1,1168729,1168777,792.0,683.0,3274.0,2915.0
580,1,1168810,1168869,525.0,509.0,2022.0,1987.0
581,1,1168876,1168908,542.0,515.0,1614.0,1559.0
601,1,1178403,1178492,312.0,288.0,810.0,551.0
607,1,1179761,1179808,310.0,282.0,772.0,536.0
610,1,1181725,1181790,209.0,48.0,591.0,75.0
612,1,1182135,1182179,495.0,7.0,1393.0,48.0
614,1,1182215,1182247,1026.0,13.0,3690.0,130.0
