,chr,start,end,20M_mix_Bmap_CLBGA_0_rep1,20M_mix_Bmap_CLBGA_100_rep1,20M_mix_Bmap_CLBGA_25_rep1,20M_mix_Bmap_CLBGA_10_rep1,20M_mix_Bmap_CLBGA_50_rep1
0,1,10497,10588,0.8857,0.9153,0.8932,0.8763,0.8935
1,1,805411,805466,0.0078,0.0092,0.0,0.0,0.0049
2,1,805467,805521,0.099,0.0,0.108,0.1094,0.0833
3,1,838295,838370,0.9524,0.9386,0.9394,0.9444,0.9375
4,1,840279,840318,0.0,0.0,0.0,0.0,0.0
5,1,845336,845375,0.0578,0.1481,0.0455,0.0629,0.0614
6,1,845458,845560,0.0114,0.0,0.0097,0.0137,0.0
7,1,859086,859172,0.0,0.0,0.0,0.0,0.0
8,1,859205,859263,0.0,0.0,0.0,0.0,0.0
9,1,859329,859374,0.0,0.0,0.0,0.0,0.0
10,1,859375,859437,0.0227,0.0,0.0164,0.0238,0.0149
11,1,859530,859575,0.0,0.0054,0.0,0.0,0.0
12,1,859637,859680,0.0053,0.0,0.0039,0.0058,0.0
13,1,859837,859953,0.0129,0.0,0.0118,0.0103,0.009
14,1,860354,860399,0.0,0.01,0.0,0.0,0.0
15,1,872428,872517,0.9253,0.9412,0.9301,0.9194,0.9345
16,1,875731,875785,0.0125,0.0333,0.0167,0.0143,0.025
17,1,876948,877030,0.0,0.0,0.0,0.0,0.0
18,1,877200,877269,0.0,0.0179,0.0,0.0,0.0
19,1,877270,877313,0.0046,0.0046,0.0043,0.0042,0.0046
20,1,877314,877357,0.0,0.0,0.0,0.0,0.0
21,1,877358,877423,0.0042,0.0185,0.0,0.0035,0.0044
22,1,877867,877902,0.0,0.3778,0.1019,0.0583,0.1404
23,1,886528,886651,1.0,0.9867,0.9857,0.9857,0.9905
24,1,895201,895236,0.0391,0.0286,0.0389,0.0372,0.0593
25,1,896009,896063,0.0,0.0,0.0,0.0,0.0
26,1,896139,896176,0.0,0.0,0.0,0.0,0.0
27,1,896321,896424,0.0,0.0,0.0,0.0,0.0
28,1,896438,896517,0.0118,0.005,0.0122,0.0115,0.005
29,1,896557,896599,0.0098,0.0,0.0054,0.0111,0.0062
30,1,896600,896697,0.027,0.0303,0.0137,0.0143,0.0195
